127.0.0.1 - - [10/Jul/2024:09:51:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:51:02 +0900] "GET /Html/test/image2.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:51:02 +0900] "GET /Html/images/road1.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:51:02 +0900] "GET /Html/images/road2.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:51:12 +0900] "GET /Html/test/image2.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:51:12 +0900] "GET /Html/images/road1.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:51:12 +0900] "GET /Html/images/road2.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:51:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:52:27 +0900] "GET /Html/test/image2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:52:27 +0900] "GET /Html/images/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:52:27 +0900] "GET /Html/images/road2.jpg HTTP/1.1" 200 46040
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:45 +0900] "GET /Html/image.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:45 +0900] "GET /Html/images/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:45 +0900] "GET /Html/Merry_Love.MP4 HTTP/1.1" 206 32023001
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:45 +0900] "GET /Html/Merry_Love.MP4 HTTP/1.1" 206 32023001
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:45 +0900] "GET /Html/Merry_Love.MP4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:45 +0900] "GET /Html/Merry_Love.MP4 HTTP/1.1" 206 90585
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:46 +0900] "GET /Html/Merry_Love.MP4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:46 +0900] "GET /Html/Merry_Love.MP4 HTTP/1.1" 206 32023001
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:46 +0900] "GET /Html/Merry_Love.MP4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:53:46 +0900] "GET /Html/Merry_Love.MP4 HTTP/1.1" 206 31916505
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:55:01 +0900] "GET /Html/images/road2.jpg HTTP/1.1" 200 46040
